device,subject,block,run,batterystats_Joule_calculated
j7duo2,crunchyroll,360p,1,1899.3996000000002
j7duo2,crunchyroll,360p,2,1852.812
j7duo2,crunchyroll,360p,3,1631.232
j7duo2,crunchyroll,360p,4,2418.7392
j7duo2,crunchyroll,360p,5,1546.3727999999999
j7duo2,dailymotion,360p,1,762.88752
j7duo2,dailymotion,360p,2,716.22864
j7duo2,dailymotion,360p,3,750.84192
j7duo2,dailymotion,360p,4,737.5291199999999
j7duo2,dailymotion,360p,5,848.718
j7duo2,youtube,360p,1,474.72048
j7duo2,youtube,360p,2,1323.70308
j7duo2,youtube,360p,3,549.7912799999999
j7duo2,youtube,360p,4,459.9126
j7duo2,youtube,360p,5,453.01248
j7duo2,imdb,Adaptive,1,2138.688
j7duo2,imdb,Adaptive,2,1264.2624
j7duo2,imdb,Adaptive,3,2338.0992
j7duo2,imdb,Adaptive,4,1457.9712
j7duo2,imdb,Adaptive,5,2357.5499999999997
j7duo2,bfmtv,Adaptive,1,367.27236
j7duo2,bfmtv,Adaptive,2,243.62424000000004
j7duo2,bfmtv,Adaptive,3,248.94935999999998
j7duo2,bfmtv,Adaptive,4,246.2868
j7duo2,bfmtv,Adaptive,5,248.63616000000002
j7duo2,plex,Adaptive,1,1388.2248
j7duo2,plex,Adaptive,2,2246.976
j7duo2,plex,Adaptive,3,1444.9536
j7duo2,plex,Adaptive,4,1562.1119999999999
j7duo2,plex,Adaptive,5,1085.9940000000001
j7duo2,ted,Adaptive,1,1464.408
j7duo2,ted,Adaptive,2,1025.0855999999999
j7duo2,ted,Adaptive,3,1034.8992
j7duo2,ted,Adaptive,4,1304.0920800000001
j7duo2,ted,Adaptive,5,1206.153
j7duo2,vimeo,360p,1,677.32704
j7duo2,vimeo,360p,2,900.1404
j7duo2,vimeo,360p,3,711.3412800000001
j7duo2,vimeo,360p,4,699.5998800000001
j7duo2,vimeo,360p,5,969.71616
j7duo2,nicovideo,360p,1,728.2976399999999
j7duo2,nicovideo,360p,2,702.9907199999999
j7duo2,nicovideo,360p,3,622.6394399999999
j7duo2,nicovideo,360p,4,315.3888
j7duo2,nicovideo,360p,5,700.0704
j7duo2,nos,Adaptive,1,683.4276
j7duo2,nos,Adaptive,2,683.4276
j7duo2,nos,Adaptive,3,733.9622400000001
j7duo2,nos,Adaptive,4,616.29552
j7duo2,nos,Adaptive,5,621.2322
